page_type,column,layout
101,7,"[[0, 0, 3, 15], [3, 0, 4, 6], '9단21']"
100,7,"[[0, 0, 5, 7], [5, 0, 2, 7, 2], '8단통']"
100,7,"[[0, 0, 4, 6], [4, 0, 3, 15, 4], '9단21']"
101,7,"[[0, 0, 4, 6], [4, 0, 3, 6], [0, 6, 3, 9], '9단21']"
100,7,"[[0, 0, 4, 6], [4, 0, 3, 15, 3], '9단21']"
100,7,"[[0, 0, 4, 6], [4, 0, 3, 15, 2], '9단21']"
101,7,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 3, 9, 2], '9단21']"
101,7,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 3, 9, 2], '9단21']"
100,7,"[[0, 0, 6, 6], [6, 0, 1, 6], [4, 6, 3, 9, 3], '9단21']"
100,7,"[[0, 0, 7, 15], '9단21']"
101,7,"[[0, 0, 7, 15], '9단21']"
101,7,"[[0, 0, 7, 6], [0, 6, 3, 9, 2], '9단21']"
101,7,"[[0, 0, 7, 6], [0, 6, 3, 9, 2], '9단21']"
101,7,"[[0, 0, 7, 6], [0, 6, 3, 9], '9단21']"
101,6,"[[0, 0, 2, 15, 5], [2, 0, 2, 15, 5], [4, 0, 2, 15, 5]]"
20,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 2], '5단통']"
100,7,"[[0, 0, 5, 7], [5, 0, 2, 15, 2], '8단27']"
100,6,"[[0, 0, 2, 15, 3], [2, 0, 2, 15, 3], [4, 0, 2, 15, 3]]"
101,6,"[[0, 0, 2, 15, 3], [2, 0, 2, 15, 3], [4, 0, 2, 15, 3]]"
100,6,"[[0, 0, 3, 15, 4], [3, 0, 3, 15, 4]]"
101,6,"[[0, 0, 3, 15, 4], [3, 0, 3, 15, 4]]"
100,7,"[[0, 0, 4, 6], [4, 0, 3, 15, 2], '9단21']"
101,7,"[[0, 0, 6, 6], [6, 0, 1, 6], [0, 6, 3, 9, 3], '9단21']"
